query_flight_iata,airline_name,departure_airport,departure_iata,departure_scheduled,arrival_airport,arrival_iata,arrival_scheduled,flight_status
CX651,Cathay Pacific,Hong Kong International,HKG,2026-08-16T20:35:00+00:00,Madras International (Meenambakkam),MAA,2026-08-16T23:35:00+00:00,scheduled
CX632,Cathay Pacific,Madras International (Meenambakkam),MAA,2026-08-16T00:50:00+00:00,Hong Kong International,HKG,2026-08-16T09:10:00+00:00,landed
AY100,Finnair,Hong Kong International,HKG,2026-08-16T20:55:00+00:00,Helsinki-vantaa,HEL,2026-08-17T05:35:00+00:00,active
CX623,Cathay Pacific,Hong Kong International,HKG,2026-08-16T20:55:00+00:00,Bangalore International Airport,BLR,2026-08-17T00:10:00+00:00,active
CX624,Cathay Pacific,Bangalore International Airport,BLR,2026-08-16T01:15:00+00:00,Hong Kong International,HKG,2026-08-16T09:50:00+00:00,scheduled
KL888,KLM,Hong Kong International,HKG,2026-08-16T22:20:00+00:00,Schiphol,AMS,2026-08-17T06:05:00+00:00,scheduled
KL887,Qantas,Schiphol,AMS,2026-08-15T21:25:00+00:00,Hong Kong International,HKG,2026-08-16T15:25:00+00:00,landed
CX271,Cathay Pacific,Hong Kong International,HKG,2026-08-16T23:15:00+00:00,Schiphol,AMS,2026-08-17T06:55:00+00:00,scheduled
CX270,Cathay Pacific,Schiphol,AMS,2026-08-16T12:20:00+00:00,Hong Kong International,HKG,2026-08-17T06:10:00+00:00,active
CX673,Cathay Pacific,Hong Kong International,HKG,2026-08-16T22:30:00+00:00,Hyderabad Airport,HYD,2026-08-17T01:35:00+00:00,scheduled
CX672,Cathay Pacific,Hyderabad Airport,HYD,2026-08-16T02:40:00+00:00,Hong Kong International,HKG,2026-08-16T11:00:00+00:00,landed
LH797,Lufthansa,Hong Kong International,HKG,2026-08-16T23:25:00+00:00,Frankfurt International Airport,FRA,2026-08-17T06:20:00+00:00,scheduled
LH796,Air New Zealand,Frankfurt International Airport,FRA,2026-08-15T21:40:00+00:00,Hong Kong International,HKG,2026-08-16T15:20:00+00:00,landed
CX289,Cathay Pacific,Hong Kong International,HKG,2026-08-16T23:55:00+00:00,Frankfurt International Airport,FRA,2026-08-17T07:15:00+00:00,scheduled
CX288,Lufthansa,Frankfurt International Airport,FRA,2026-08-16T13:40:00+00:00,Hong Kong International,HKG,2026-08-17T07:20:00+00:00,active
CX294,Cathay Pacific,Brussels Airport,BRU,2026-08-15T13:05:00+00:00,Hong Kong International,HKG,2026-08-16T06:35:00+00:00,landed
CX275,Cathay Pacific,Hong Kong International,HKG,2026-08-17T00:45:00+00:00,Brussels Airport,BRU,2026-08-17T08:25:00+00:00,scheduled
CX300,Cathay Pacific,Franz Josef Strauss,MUC,2026-08-15T13:50:00+00:00,Hong Kong International,HKG,2026-08-16T06:50:00+00:00,scheduled
CX301,Cathay Pacific,Hong Kong International,HKG,2026-08-17T01:00:00+00:00,Franz Josef Strauss,MUC,2026-08-17T08:05:00+00:00,scheduled
CX321,Cathay Pacific,Hong Kong International,HKG,2026-08-17T00:45:00+00:00,El Prat De Llobregat,BCN,2026-08-17T08:35:00+00:00,scheduled
CX318,Cathay Pacific,El Prat De Llobregat,BCN,2026-08-16T13:00:00+00:00,Hong Kong International,HKG,2026-08-17T07:00:00+00:00,active
CX662,Cathay Pacific,Zia International,DAC,2026-08-16T02:10:00+00:00,Hong Kong International,HKG,2026-08-16T08:10:00+00:00,landed
CX667,Japan Airlines,Hong Kong International,HKG,2026-08-15T22:55:00+00:00,Zia International,DAC,2026-08-16T01:00:00+00:00,landed
CX853,Malaysia Airlines,Seattle-Tacoma International,SEA,2026-08-15T12:25:00+00:00,Hong Kong International,HKG,2026-08-16T16:45:00+00:00,landed
CX852,Cathay Pacific,Hong Kong International,HKG,2026-08-15T13:25:00+00:00,Seattle-Tacoma International,SEA,2026-08-15T10:20:00+00:00,landed
UO858,HK express,Hong Kong International,HKG,2026-08-16T07:40:00+00:00,Ishigaki,ISG,2026-08-16T10:40:00+00:00,landed
UO879,HK express,Ishigaki,ISG,2026-08-16T11:30:00+00:00,Hong Kong International,HKG,2026-08-16T12:45:00+00:00,landed
HB866,Greater Bay Airlines,Hong Kong International,HKG,2026-08-15T08:15:00+00:00,Zhoushan,HSN,2026-08-15T10:30:00+00:00,scheduled
HB867,Greater Bay Airlines,Zhoushan,HSN,2026-08-15T11:20:00+00:00,Hong Kong International,HKG,2026-08-15T13:55:00+00:00,landed
UO804,HK express,Hong Kong International,HKG,2026-08-15T09:35:00+00:00,Komatsu,KMQ,2026-08-15T14:35:00+00:00,scheduled
UO805,HK express,Komatsu,KMQ,2026-08-15T15:20:00+00:00,Hong Kong International,HKG,2026-08-15T18:40:00+00:00,scheduled
UO212,HK express,Hong Kong International,HKG,2026-08-15T14:00:00+00:00,Yiwu,YIW,2026-08-15T16:10:00+00:00,scheduled
UO213,HK express,Yiwu,YIW,2026-08-15T16:55:00+00:00,Hong Kong International,HKG,2026-08-15T19:05:00+00:00,landed
HB932,Greater Bay Airlines,Hong Kong International,HKG,2026-08-15T14:50:00+00:00,Datong,DAT,2026-08-15T18:10:00+00:00,scheduled
HB933,Greater Bay Airlines,Datong,DAT,2026-08-15T19:10:00+00:00,Hong Kong International,HKG,2026-08-15T22:40:00+00:00,scheduled
CZ6048,China Southern Airlines,Hong Kong International,HKG,2026-08-16T15:10:00+00:00,Harbin,HRB,2026-08-16T20:00:00+00:00,landed
CZ6047,China Southern Airlines,Harbin,HRB,2026-08-16T08:55:00+00:00,Hong Kong International,HKG,2026-08-16T13:50:00+00:00,landed
HB850,Greater Bay Airlines,Hong Kong International,HKG,2026-08-16T16:00:00+00:00,Yichang,YIH,2026-08-16T18:25:00+00:00,landed
HB851,Greater Bay Airlines,Yichang,YIH,2026-08-16T19:25:00+00:00,Hong Kong International,HKG,2026-08-16T21:50:00+00:00,active
TV6120,Tibet Airlines,Hong Kong International,HKG,2026-08-15T17:10:00+00:00,Yun Cheng,YCU,2026-08-15T20:10:00+00:00,landed
TV6119,Tibet Airlines,Yun Cheng,YCU,2026-08-15T13:15:00+00:00,Hong Kong International,HKG,2026-08-15T15:40:00+00:00,landed
HB838,Greater Bay Airlines,Hong Kong International,HKG,2026-08-15T17:30:00+00:00,Guilin,KWL,2026-08-15T19:10:00+00:00,landed
HB839,Greater Bay Airlines,Guilin,KWL,2026-08-15T20:00:00+00:00,Hong Kong International,HKG,2026-08-15T21:40:00+00:00,landed
TV9701,Tibet Airlines,Chengdu Tianfu International Airport,TFU,2026-08-16T12:00:00+00:00,Hong Kong International,HKG,2026-08-16T14:30:00+00:00,landed
HU7916,Hainan Airlines,Hong Kong International,HKG,2026-08-15T10:15:00+00:00,Changchun,CGQ,2026-08-15T14:35:00+00:00,landed
HU7915,Hainan Airlines,Changchun,CGQ,2026-08-15T15:50:00+00:00,Hong Kong International,HKG,2026-08-15T20:30:00+00:00,landed
MU6095,China Eastern Airlines,Xianyang,XIY,2026-08-15T12:25:00+00:00,Hong Kong International,HKG,2026-08-15T15:30:00+00:00,landed
MF8692,Xiamen Air,Hong Kong International,HKG,2026-08-15T13:45:00+00:00,Yinchuan,INC,2026-08-15T17:05:00+00:00,landed
MF8691,Xiamen Air,Yinchuan,INC,2026-08-15T09:20:00+00:00,Hong Kong International,HKG,2026-08-15T12:45:00+00:00,landed
NS3690,Hebei Airlines,Hong Kong International,HKG,2026-08-15T13:00:00+00:00,Daguocun,SJW,2026-08-15T16:00:00+00:00,landed
NS3689,Hebei Airlines,Daguocun,SJW,2026-08-15T08:50:00+00:00,Hong Kong International,HKG,2026-08-15T12:00:00+00:00,landed
AY099,Finnair,Helsinki-vantaa,HEL,2026-08-17T00:35:00+00:00,Hong Kong International,HKG,2026-08-17T17:40:00+00:00,scheduled
HB8952,Greater Bay Airlines,Hong Kong International,HKG,2026-08-21T09:15:00+00:00,Dunhuang,DNH,2026-08-21T13:45:00+00:00,scheduled
HB8953,Greater Bay Airlines,Dunhuang,DNH,2026-08-21T16:15:00+00:00,Hong Kong International,HKG,2026-08-21T20:45:00+00:00,scheduled
SU213,Aeroflot,Hong Kong International,HKG,2026-08-17T12:25:00+00:00,Sheremetyevo International,SVO,2026-08-17T16:55:00+00:00,scheduled
MU6098,China Eastern Airlines,Hong Kong International,HKG,2026-08-17T12:20:00+00:00,Lanzhou Zhongchuan International,LHW,2026-08-17T15:35:00+00:00,scheduled
MU6097,China Eastern Airlines,Lanzhou Zhongchuan International,LHW,2026-08-17T08:05:00+00:00,Hong Kong International,HKG,2026-08-17T11:20:00+00:00,scheduled
HX2507,Hong Kong Airlines,Hong Kong International,HKG,2026-08-18T15:45:00+00:00,Lanzhou Zhongchuan International,LHW,2026-08-18T19:00:00+00:00,scheduled
HX2508,Hong Kong Airlines,Lanzhou Zhongchuan International,LHW,2026-08-18T20:40:00+00:00,Hong Kong International,HKG,2026-08-18T23:55:00+00:00,scheduled
HX463,Hong Kong Airlines,Hong Kong International,HKG,2026-08-17T12:20:00+00:00,Hulunbuir Hailar,HLD,2026-08-17T17:20:00+00:00,scheduled
HX462,Hong Kong Airlines,Hulunbuir Hailar,HLD,2026-08-17T17:50:00+00:00,Hong Kong International,HKG,2026-08-17T22:50:00+00:00,scheduled
MU6086,China Eastern Airlines,Hong Kong International,HKG,2026-08-17T12:35:00+00:00,Taiyuan Wusu International,TYN,2026-08-17T15:35:00+00:00,scheduled
MU6085,China Eastern Airlines,Taiyuan Wusu International,TYN,2026-08-17T08:35:00+00:00,Hong Kong International,HKG,2026-08-17T11:35:00+00:00,scheduled
UA153,United Airlines,Hong Kong International,HKG,2026-08-21T12:40:00+00:00,Daniel K. Inouye International,HNL,2026-08-21T05:40:00+00:00,scheduled
HB8235,Greater Bay Airlines,Hong Kong International,HKG,2026-08-17T14:30:00+00:00,Roman Tmetuchl International,ROR,2026-08-17T19:30:00+00:00,scheduled
HB8236,Greater Bay Airlines,Roman Tmetuchl International,ROR,2026-08-17T20:45:00+00:00,Hong Kong International,HKG,2026-08-17T23:45:00+00:00,scheduled
HX2725,Hong Kong Airlines,Hong Kong International,HKG,2026-08-20T14:30:00+00:00,Roman Tmetuchl International,ROR,2026-08-20T19:30:00+00:00,scheduled
HX2726,Hong Kong Airlines,Roman Tmetuchl International,ROR,2026-08-20T20:55:00+00:00,Hong Kong International,HKG,2026-08-20T23:55:00+00:00,scheduled
HB538,Greater Bay Airlines,Hong Kong International,HKG,2026-08-16T17:50:00+00:00,Enshi Xujiaping,ENH,2026-08-16T20:20:00+00:00,scheduled
HB539,Greater Bay Airlines,Enshi Xujiaping,ENH,2026-08-16T20:40:00+00:00,Hong Kong International,HKG,2026-08-16T23:10:00+00:00,scheduled
HX412,Hong Kong Airlines,Hong Kong International,HKG,2026-08-17T17:10:00+00:00,Lijiang Sanyi International,LJG,2026-08-17T19:55:00+00:00,scheduled
HB872,Greater Bay Airlines,Hong Kong International,HKG,2026-08-17T17:25:00+00:00,Zhangjiajie Hehua International,DYG,2026-08-17T19:25:00+00:00,scheduled
HB873,Greater Bay Airlines,Zhangjiajie Hehua International,DYG,2026-08-17T20:10:00+00:00,Hong Kong International,HKG,2026-08-17T22:10:00+00:00,scheduled
PX019,Air Niugini,Hong Kong International,HKG,2026-08-16T20:25:00+00:00,Jacksons International,POM,2026-08-17T04:55:00+00:00,scheduled
PX008,Air Niugini,Jacksons International,POM,2026-08-16T14:45:00+00:00,Hong Kong International,HKG,2026-08-16T19:15:00+00:00,scheduled
AY099,Finnair,Helsinki-vantaa,HEL,2026-08-16T03:40:00+00:00,Hong Kong International,HKG,2026-08-16T17:40:00+00:00,scheduled
HX072,Hong Kong Airlines,Hong Kong International,HKG,2026-08-16T18:25:00+00:00,Saipan International,SPN,2026-08-17T01:25:00+00:00,scheduled
HX073,Hong Kong Airlines,Saipan International,SPN,2026-08-17T03:20:00+00:00,Hong Kong International,HKG,2026-08-17T06:20:00+00:00,scheduled
HX2502,Hong Kong Airlines,Hong Kong International,HKG,2026-08-18T12:20:00+00:00,Xining Caojiabao International,XNN,2026-08-18T15:50:00+00:00,scheduled
HX2503,Hong Kong Airlines,Xining Caojiabao International,XNN,2026-08-18T17:25:00+00:00,Hong Kong International,HKG,2026-08-18T20:55:00+00:00,scheduled
CX342R,Cathay Pacific,Hong Kong International,HKG,2026-08-16T09:35:00+00:00,Hong Kong International,HKG,2026-08-16T11:35:00+00:00,scheduled
