query_flight_iata,airline_name,departure_airport,departure_iata,departure_scheduled,arrival_airport,arrival_iata,arrival_scheduled,flight_status
3U3959,China Southern Airlines,Shuangliu,CTU,2026-08-16T14:45:00+00:00,Hong Kong International,HKG,2026-08-16T17:25:00+00:00,landed
UO642,Cathay Pacific,Hong Kong International,HKG,2026-08-16T10:00:00+00:00,Takamatsu,TAK,2026-08-16T14:45:00+00:00,active
UO643,HK express,Takamatsu,TAK,2026-08-16T15:30:00+00:00,Hong Kong International,HKG,2026-08-16T18:25:00+00:00,active
CX536,Qatar Airways,Hong Kong International,HKG,2026-08-16T10:10:00+00:00,Chu-Bu Centrair International (Central Japan International),NGO,2026-08-16T15:05:00+00:00,landed
CX532,Qatar Airways,Hong Kong International,HKG,2026-08-16T16:15:00+00:00,Chu-Bu Centrair International (Central Japan International),NGO,2026-08-16T21:15:00+00:00,landed
CX563,Cathay Pacific,Chu-Bu Centrair International (Central Japan International),NGO,2026-08-16T10:00:00+00:00,Hong Kong International,HKG,2026-08-16T13:25:00+00:00,landed
CX539,Cathay Pacific,Chu-Bu Centrair International (Central Japan International),NGO,2026-08-16T16:10:00+00:00,Hong Kong International,HKG,2026-08-16T19:30:00+00:00,active
CX531,Cathay Pacific,Taiwan Taoyuan International (Chiang Kai Shek International),TPE,2026-08-16T19:55:00+00:00,Hong Kong International,HKG,2026-08-16T22:00:00+00:00,active
UO690,HK express,Hong Kong International,HKG,2026-08-16T10:50:00+00:00,Chu-Bu Centrair International (Central Japan International),NGO,2026-08-16T15:50:00+00:00,landed
UO670,HK express,Hong Kong International,HKG,2026-08-16T14:50:00+00:00,Chu-Bu Centrair International (Central Japan International),NGO,2026-08-16T19:50:00+00:00,landed
UO671,HK express,Chu-Bu Centrair International (Central Japan International),NGO,2026-08-16T20:45:00+00:00,Hong Kong International,HKG,2026-08-17T00:00:00+00:00,active
UO691,HK express,Chu-Bu Centrair International (Central Japan International),NGO,2026-08-16T16:45:00+00:00,Hong Kong International,HKG,2026-08-16T20:00:00+00:00,active
HU706,Hainan Airlines,Hong Kong International,HKG,2026-08-16T10:15:00+00:00,Haikou,HAK,2026-08-16T11:40:00+00:00,landed
HU720,Hong Kong Airlines,Hong Kong International,HKG,2026-08-16T16:05:00+00:00,Haikou,HAK,2026-08-16T17:40:00+00:00,active
HU705,Hainan Airlines,Haikou,HAK,2026-08-16T07:35:00+00:00,Hong Kong International,HKG,2026-08-16T09:05:00+00:00,landed
HU719,Hainan Airlines,Haikou,HAK,2026-08-16T13:30:00+00:00,Hong Kong International,HKG,2026-08-16T15:00:00+00:00,landed
CX310,Cathay Pacific,Hong Kong International,HKG,2026-08-16T14:10:00+00:00,Haikou,HAK,2026-08-16T15:40:00+00:00,active
CX313,Cathay Pacific,Haikou,HAK,2026-08-16T16:50:00+00:00,Hong Kong International,HKG,2026-08-16T18:20:00+00:00,landed
CX954,Cathay Pacific,Hong Kong International,HKG,2026-08-16T10:15:00+00:00,Qingdao,TAO,2026-08-16T13:30:00+00:00,landed
CX951,Cathay Pacific,Qingdao,TAO,2026-08-16T14:45:00+00:00,Hong Kong International,HKG,2026-08-16T18:15:00+00:00,active
SC4632,Shandong Airlines,Hong Kong International,HKG,2026-08-16T17:30:00+00:00,Qingdao,TAO,2026-08-16T20:35:00+00:00,active
SC4631,Air China,Qingdao,TAO,2026-08-16T12:50:00+00:00,Hong Kong International,HKG,2026-08-16T16:30:00+00:00,landed
QW916,Qingdao Airlines,Hong Kong International,HKG,2026-08-15T13:45:00+00:00,Qingdao,TAO,2026-08-15T17:05:00+00:00,scheduled
QW915,Qingdao Airlines,Qingdao,TAO,2026-08-15T09:25:00+00:00,Hong Kong International,HKG,2026-08-15T12:45:00+00:00,landed
CX356,Cathay Pacific,Hong Kong International,HKG,2026-08-16T10:25:00+00:00,Nanjing Lukou International Airport,NKG,2026-08-16T13:00:00+00:00,landed
CX304,Cathay Pacific,Hong Kong International,HKG,2026-08-16T19:25:00+00:00,Nanjing Lukou International Airport,NKG,2026-08-16T22:05:00+00:00,active
CX305,Cathay Pacific,Nanjing Lukou International Airport,NKG,2026-08-16T08:00:00+00:00,Hong Kong International,HKG,2026-08-16T10:45:00+00:00,landed
CX357,Cathay Pacific,Nanjing Lukou International Airport,NKG,2026-08-16T14:15:00+00:00,Hong Kong International,HKG,2026-08-16T17:05:00+00:00,active
