Flight Number,Airline Code,Departure Airport,Arrival Airport,Flight Duration (Approx)
CX 983,CPA,Guangzhou Baiyun International Airport (CAN),Hong Kong International Airport (HKG),1hr 25mins
CX 988,CPA,Hong Kong International Airport (HKG),Guangzhou Baiyun International Airport (CAN),1hr 5mins
CX 989,CPA,Guangzhou Baiyun International Airport (CAN),Hong Kong International Airport (HKG),1hr 25mins
TW 639,TWB,Gimhae International Airport (PUS),Hong Kong International Airport (HKG),2hr 25mins
TW 640,TWB,Hong Kong International Airport (HKG),Gimhae International Airport (PUS),4hr 30mins
UO 604,HKE,Hong Kong International Airport (HKG),Gimhae International Airport (PUS),4hr 30mins
UO 607,HKE,Gimhae International Airport (PUS),Hong Kong International Airport (HKG),2hr 25mins
UO 674,HKE,Hong Kong International Airport (HKG),Gimhae International Airport (PUS),4hr 30mins
UO 675,HKE,Gimhae International Airport (PUS),Hong Kong International Airport (HKG),2hr 25mins
LJ 713,JNA,Jeju International Airport (CJU),Hong Kong International Airport (HKG),2hr 5mins
LJ 714,JNA,Hong Kong International Airport (HKG),Jeju International Airport (CJU),4hr 5mins
UO 660,HKE,Hong Kong International Airport (HKG),Jeju International Airport (CJU),4hr 5mins
UO 663,HKE,Jeju International Airport (CJU),Hong Kong International Airport (HKG),2hr 5mins
UO 698,HKE,Hong Kong International Airport (HKG),Jeju International Airport (CJU),4hr 5mins
UO 699,HKE,Jeju International Airport (CJU),Hong Kong International Airport (HKG),2hr 5mins
CX 782,CPA,Ngurah Rai (Bali) International Airport (DPS),Hong Kong International Airport (HKG),5hr 15mins
CX 783,CPA,Hong Kong International Airport (HKG),Ngurah Rai (Bali) International Airport (DPS),5hr 5mins
CX 784,CPA,Ngurah Rai (Bali) International Airport (DPS),Hong Kong International Airport (HKG),5hr 15mins
CX 785,CPA,Hong Kong International Airport (HKG),Ngurah Rai (Bali) International Airport (DPS),5hr 5mins
HX 706,CRK,Ngurah Rai (Bali) International Airport (DPS),Hong Kong International Airport (HKG),5hr 15mins
HX 707,CRK,Hong Kong International Airport (HKG),Ngurah Rai (Bali) International Airport (DPS),5hr 5mins
CX 830,CPA,Hong Kong International Airport (HKG),John F Kennedy International Airport (JFK),4hr 5mins
CX 831,CPA,John F Kennedy International Airport (JFK),Hong Kong International Airport (HKG),28hr 10mins
CX 840,CPA,Hong Kong International Airport (HKG),John F Kennedy International Airport (JFK),4hr 5mins
