Flight Number,Airline Code,Departure Airport,Arrival Airport,Flight Duration (Approx)
5J 149,CEB,Hong Kong International Airport (HKG),Clark International Airport (CRK),2hr 5mins
5J 121,CEB,Hong Kong International Airport (HKG),Clark International Airport (CRK),2hr 5mins
5J 150,CEB,Clark International Airport (CRK),Hong Kong International Airport (HKG),2hr 10mins
5J 120,CEB,Clark International Airport (CRK),Hong Kong International Airport (HKG),2hr 10mins
UO 540,HKE,Hong Kong International Airport (HKG),Noi Bai International Airport (HAN),1hr 10mins
UO 541,HKE,Noi Bai International Airport (HAN),Hong Kong International Airport (HKG),3hr 5mins
CX 741,CPA,Hong Kong International Airport (HKG),Noi Bai International Airport (HAN),1hr 10mins
CX 743,CPA,Hong Kong International Airport (HKG),Noi Bai International Airport (HAN),1hr 10mins
CX 740,CPA,Noi Bai International Airport (HAN),Hong Kong International Airport (HKG),3hr 5mins
CX 742,CPA,Noi Bai International Airport (HAN),Hong Kong International Airport (HKG),3hr 5mins
VN 593,HVN,Hong Kong International Airport (HKG),Noi Bai International Airport (HAN),1hr 10mins
VN 592,HVN,Noi Bai International Airport (HAN),Hong Kong International Airport (HKG),3hr 5mins
CX 958,CPA,Hong Kong International Airport (HKG),Hangzhou Xiaoshan International Airport (HGH),2hr 25mins
CX 960,CPA,Hong Kong International Airport (HKG),Hangzhou Xiaoshan International Airport (HGH),2hr 25mins
CX 962,CPA,Hong Kong International Airport (HKG),Hangzhou Xiaoshan International Airport (HGH),2hr 25mins
CX 964,CPA,Hong Kong International Airport (HKG),Hangzhou Xiaoshan International Airport (HGH),2hr 25mins
CX 965,CPA,Hangzhou Xiaoshan International Airport (HGH),Hong Kong International Airport (HKG),2hr 40mins
CX 959,CPA,Hangzhou Xiaoshan International Airport (HGH),Hong Kong International Airport (HKG),2hr 40mins
CX 961,CPA,Hangzhou Xiaoshan International Airport (HGH),Hong Kong International Airport (HKG),2hr 40mins
CX 963,CPA,Hangzhou Xiaoshan International Airport (HGH),Hong Kong International Airport (HKG),2hr 40mins
HX 112,CRK,Hong Kong International Airport (HKG),Hangzhou Xiaoshan International Airport (HGH),2hr 25mins
HX 128,CRK,Hong Kong International Airport (HKG),Hangzhou Xiaoshan International Airport (HGH),2hr 25mins
HX 129,CRK,Hangzhou Xiaoshan International Airport (HGH),Hong Kong International Airport (HKG),2hr 40mins
HX 113,CRK,Hangzhou Xiaoshan International Airport (HGH),Hong Kong International Airport (HKG),2hr 40mins
GJ 8008,CDC,Hong Kong International Airport (HKG),Hangzhou Xiaoshan International Airport (HGH),2hr 25mins
